v1,v2
spam,FLASH SALE: 80% discount today only on Myntra! Shop now: www.megaoffers.co
spam,Limited Offer! Get 40% off on our store. Visit our website immediately: www.giftclaim.in
spam,"Your loan of ₹75,000 is pre-approved. Apply now with zero documents: www.superdeal.in"
spam,"Get rich quick! Invest ₹10,000 today and double it in a week. Join now: www.quickreward.net"
spam,URGENT: your parcel is on hold due to unpaid customs fee. Pay now at www.quickreward.net
spam,Security Alert: unusual login detected on your Axis Bank account. Verify immediately: www.cashbonus.co.in
spam,"You have an unclaimed refund of ₹10,000. Click www.instawin.in to receive it instantly."
spam,"Last chance! Your ₹25,000 reward expires today. Claim at www.superdeal.in"
spam,"Free recharge of ₹50,000 waiting for you! Click www.giftclaim.in now to activate."
spam,"Free recharge of ₹50,000 waiting for you! Click www.claimnow.in now to activate."
spam,"Your loan of ₹10,000 is pre-approved. Apply now with zero documents: www.megaoffers.co"
spam,"Dear customer, your account will be blocked in 24 hours. Update KYC now at www.megaoffers.co"
spam,"Act now! Only few hours left to claim your ₹50,000 cashback. Visit www.easycash.com"
spam,Your Myntra order is delayed. Confirm your address immediately: www.giftclaim.in
spam,"Act now! Only few hours left to claim your ₹1,00,000 cashback. Visit www.cashbonus.co.in"
spam,Security Alert: unusual login detected on your Paytm account. Verify immediately: www.cashbonus.co.in
spam,Your Axis Bank account has been suspended! Verify now at www.easycash.com
spam,Your HDFC account has been suspended! Verify now at www.quickreward.net
spam,"Hi, this is ICICI fraud team. Your card has been blocked. Call this number immediately to unblock."
spam,Last chance! Your $500 reward expires today. Claim at www.easycash.com
spam,Limited Offer! Get 40% off on Amazon. Visit our website immediately: www.giftclaim.in
spam,"Get rich quick! Invest ₹25,000 today and double it in a week. Join now: www.easycash.com"
spam,Work from home and earn $500 per month. No investment needed. Register: bit.ly/3xWinBig
spam,"You have an unclaimed refund of ₹75,000. Click www.claimnow.in to receive it instantly."
spam,"Act now! Only few hours left to claim your ₹50,000 cashback. Visit www.luckyprizes.in"
spam,FLASH SALE: 40% discount today only on electronics! Shop now: secure-update-portal.com
spam,"Your loan of ₹25,000 is pre-approved. Apply now with zero documents: www.megaoffers.co"
spam,FLASH SALE: 80% discount today only on Myntra! Shop now: www.giftclaim.in
spam,"Work from home and earn ₹10,000 per month. No investment needed. Register: bit.ly/3xWinBig"
spam,Limited Offer! Get 70% off on Amazon. Visit our website immediately: www.quickreward.net
spam,Your Myntra order is delayed. Confirm your address immediately: www.quickreward.net
spam,"Your loan of ₹1,00,000 is pre-approved. Apply now with zero documents: www.superdeal.in"
spam,Free recharge of $500 waiting for you! Click www.quickreward.net now to activate.
spam,Get rich quick! Invest $1000 today and double it in a week. Join now: www.megaoffers.co
spam,"Your loan of ₹75,000 is pre-approved. Apply now with zero documents: www.giftclaim.in"
spam,Act now! Only few hours left to claim your $1000 cashback. Visit www.giftclaim.in
